building_gnd,building_name,source,painting_title,creator,painting_url,url_valid,url_status
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Aeneas im Kampf gegen König Turnus,"Maximilian Emanuel (Bayern, Kurfürst, 2)",https://www.bildindex.de/document/obj20186302,True,valid
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Zweikampf des Achilles mit Hektor,"Amigoni, Jacopo",https://www.bildindex.de/document/obj20186303,True,valid
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",CBDD,"Oberschleißheim, Neues Schloss Schleißheim",,https://www.deckenmalerei.eu/fe83b5f7-0c5c-44e9-8da6-180db25f1f89,True,valid
4137109-4,"Berlin, Stadtschloss",Bildindex,Deckendekoration,,https://www.bildindex.de/document/obj20347224,False,DEAD LINK
4137109-4,"Berlin, Stadtschloss",Bildindex,"Athena stürzt sich auf aufrührerischen Lapithen, 2. Obergeschoss",,https://www.bildindex.de/document/obj20347225,False,DEAD LINK
4137109-4,"Berlin, Stadtschloss",Bildindex,Decke (Bauteil),,https://www.bildindex.de/document/obj20347226,False,DEAD LINK
4137109-4,"Berlin, Stadtschloss",Bildindex,Decke (Bauteil),,https://www.bildindex.de/document/obj20347227,False,DEAD LINK
4137109-4,"Berlin, Stadtschloss",Bildindex,Atlant,,https://www.bildindex.de/document/obj20347229,False,DEAD LINK
4137109-4,"Berlin, Stadtschloss",CBDD,"Berlin, Stadtschloss",,https://www.deckenmalerei.eu/037d1d8a-4487-4391-805c-c59b55d078d6,True,valid
4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",Bildindex,Hochaltar,"Albrecht, Balthasar Augustin",https://www.bildindex.de/document/obj20145786,True,valid
4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",Bildindex,Deckendekoration,,https://www.bildindex.de/document/obj20186559,True,valid
4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",Bildindex,Deckendekoration,,https://www.bildindex.de/document/obj20186560,True,valid
4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",Bildindex,Empore,,https://www.bildindex.de/document/obj20186562,True,valid
4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",Bildindex,Schwalbennestbalkon,,https://www.bildindex.de/document/obj20186563,True,valid
4090793-4,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",CBDD,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche",,https://www.deckenmalerei.eu/70f1cedd-7fd8-4a29-a996-b6d564e5e286,True,valid
4617816-8,"Hannover-Herrenhausen, Galeriegebäude",Bildindex,Innendekoration des Flures – Putto mit Lorbeerzweig,"Giusti, Tommaso",https://www.bildindex.de/document/obj20346875,False,DEAD LINK
4617816-8,"Hannover-Herrenhausen, Galeriegebäude",Bildindex,Innendekoration des Flures – Barmherzigkeit und Wahrheit begegnen sich,"Giusti, Tommaso",https://www.bildindex.de/document/obj20346876,False,DEAD LINK
4617816-8,"Hannover-Herrenhausen, Galeriegebäude",Bildindex,Innendekoration des Flures – Friede und Gerechtigkeit küssen sich,"Giusti, Tommaso",https://www.bildindex.de/document/obj20346877,False,DEAD LINK
4617816-8,"Hannover-Herrenhausen, Galeriegebäude",Bildindex,Innendekoration des Flures – Putto mit Blumenzweig,"Giusti, Tommaso",https://www.bildindex.de/document/obj20347011,False,DEAD LINK
4617816-8,"Hannover-Herrenhausen, Galeriegebäude",Bildindex,Wanddekoration der Westempore – Trompe-l'oeil,"Giusti, Tommaso",https://www.bildindex.de/document/obj20347022,False,DEAD LINK
4617816-8,"Hannover-Herrenhausen, Galeriegebäude",CBDD,"Hannover-Herrenhausen, Galeriegebäude",,https://www.deckenmalerei.eu/86aa6207-7922-4b47-93e9-5702c8478a13,True,valid
4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",Bildindex,Kartusche mit Christusmonogramm IHS,,https://www.bildindex.de/document/obj20064729,True,valid
4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",Bildindex,Korinthisierendes Kapitell,"Schütz, Nikolaus",https://www.bildindex.de/document/obj20064730,True,valid
4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",Bildindex,Rocaillekartusche mit Gitterwerk,"Schütz, Nikolaus",https://www.bildindex.de/document/obj20064731,True,valid
4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",Bildindex,Cherub mit Anhäger,"Schütz, Nikolaus",https://www.bildindex.de/document/obj20064732,True,valid
4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",Bildindex,Rocaillekartusche,"Schütz, Nikolaus",https://www.bildindex.de/document/obj20064733,True,valid
4129217-0,"Landsberg am Lech, Heilig-Kreuz-Kirche",CBDD,"Landsberg am Lech, Heilig-Kreuz-Kirche",,https://www.deckenmalerei.eu/55e937dc-f00b-4c02-9957-aa1d059b29f3,True,valid
4775028-5,"Nordkirchen, sog. Schloss",Bildindex,Oranienburg,"Schlaun, Johann Conrad",https://www.bildindex.de/document/obj20062338,True,valid
4775028-5,"Nordkirchen, sog. Schloss",Bildindex,Giebel der Südseite,"Pictorius, Gottfried Laurenz",https://www.bildindex.de/document/obj20062340,False,DEAD LINK
4775028-5,"Nordkirchen, sog. Schloss",Bildindex,Portal der Südseite,"Pictorius, Gottfried Laurenz",https://www.bildindex.de/document/obj20062341,False,DEAD LINK
4775028-5,"Nordkirchen, sog. Schloss",Bildindex,Portal der Nordseite,"Fix, Johann Bernhard",https://www.bildindex.de/document/obj20062342,False,DEAD LINK
4775028-5,"Nordkirchen, sog. Schloss",Bildindex,Schlauntor,,https://www.bildindex.de/document/obj20062358,True,valid
4775028-5,"Nordkirchen, sog. Schloss",CBDD,"Nordkirchen, sog. Schloss",,https://www.deckenmalerei.eu/3001232e-b122-463e-9705-b5ae84ffabf7,True,valid
4513799-7,"Altenburg, Residenzschloss",Bildindex,Kamin,,https://www.bildindex.de/document/obj20471477,True,valid
4513799-7,"Altenburg, Residenzschloss",Bildindex,"Deckendekoration des sogenannten kurfürstlichen Audienzgemachs, Raum 8","Castelli, Domenico (1706)",https://www.bildindex.de/document/obj20471493,True,valid
4513799-7,"Altenburg, Residenzschloss",Bildindex,"Deckendekoration des Vorzimmers, Raum 13","Ritter, Johann Heinrich",https://www.bildindex.de/document/obj20471503,True,valid
4513799-7,"Altenburg, Residenzschloss",Bildindex,"Innendekoration des Audienzgemachs, Raum 14","Ritter, Johann Heinrich",https://www.bildindex.de/document/obj20471504,True,valid
4513799-7,"Altenburg, Residenzschloss",Bildindex,"Deckendekoration des Schlafzimmers, Raum 15","Castelli, Carlo Antonio (1709)",https://www.bildindex.de/document/obj20471505,True,valid
4513799-7,"Altenburg, Residenzschloss",CBDD,"Altenburg, Residenzschloss",,https://www.deckenmalerei.eu/7978395e-defe-4b14-aa73-777e671fca06,True,valid
4554406-2,"Caputh, Schloss",Bildindex,Deckendekoration des Großen Saals & Raum 23,"Vaillant, Jacques",https://www.bildindex.de/document/obj21010490,True,valid
4554406-2,"Caputh, Schloss",Bildindex,"Deckendekoration des Großen Saals & Raum 23 – Minerva als Beschützerin der Künste, Mittelbild","Vaillant, Jacques",https://www.bildindex.de/document/obj21010492,False,DEAD LINK
4554406-2,"Caputh, Schloss",Bildindex,Deckendekoration des Großen Saals & Raum 23 – Zyklus mit Wolken,,https://www.bildindex.de/document/obj21010496,False,DEAD LINK
4554406-2,"Caputh, Schloss",Bildindex,Deckendekoration des Großen Saals & Raum 23 – Deckenstuckatur,,https://www.bildindex.de/document/obj21010497,False,DEAD LINK
4554406-2,"Caputh, Schloss",Bildindex,Deckendekoration des Großen Saals & Raum 23 – Zyklus mit Wolken – Wolken,,https://www.bildindex.de/document/obj21010498,False,DEAD LINK
4554406-2,"Caputh, Schloss",CBDD,"Caputh, Schloss",,https://www.deckenmalerei.eu/2a1c36e9-b84b-4c8f-ad4b-6367ce19a3bd,True,valid
4237872-2,"Bayreuth, Neues Schloss",Bildindex,Markgrafenbrunnen,"Räntz, Elias",https://www.bildindex.de/document/obj20090304,True,valid
4237872-2,"Bayreuth, Neues Schloss",Bildindex,Brunnenfigur,,https://www.bildindex.de/document/obj20090307,True,valid
4237872-2,"Bayreuth, Neues Schloss",Bildindex,Amphitritebrunnen,,https://www.bildindex.de/document/obj20149687,True,valid
4237872-2,"Bayreuth, Neues Schloss",Bildindex,Amphitritebrunnen – Amphitrite,"Räntz, Joh. David (der Jüngere)",https://www.bildindex.de/document/obj20149688,False,DEAD LINK
4237872-2,"Bayreuth, Neues Schloss",Bildindex,Kamin,,https://www.bildindex.de/document/obj20473144,True,valid
4237872-2,"Bayreuth, Neues Schloss",CBDD,"Bayreuth, Neues Schloss",,https://www.deckenmalerei.eu/41bc15be-de47-4456-8984-3579a98687e5,True,valid
4369552-8,"Idstein, Residenzschloss",Bildindex,Innendekoration im Schlafzimmer & Raum 76,"Georg August Samuel (Nassau-Idstein, Fürst)",https://www.bildindex.de/document/obj20391977,True,valid
4369552-8,"Idstein, Residenzschloss",Bildindex,Krönung eines Feldherren,,https://www.bildindex.de/document/obj20391980,True,valid
4369552-8,"Idstein, Residenzschloss",Bildindex,Deckendekoration im Vorzimmer der Fürstin,,https://www.bildindex.de/document/obj20391981,True,valid
4369552-8,"Idstein, Residenzschloss",Bildindex,Deckenstuck im Raum 57,"Pozzi, Carlo Maria",https://www.bildindex.de/document/obj21013258,True,valid
4369552-8,"Idstein, Residenzschloss",Bildindex,Deckenstuck im Raum 57 – Rahmung,"Pozzi, Carlo Maria",https://www.bildindex.de/document/obj21013259,False,DEAD LINK
4369552-8,"Idstein, Residenzschloss",CBDD,"Idstein, Residenzschloss",,https://www.deckenmalerei.eu/e12f3572-4e5e-4323-a0e6-1f119469ae0d,True,valid
4122902-2,"Berlin, Schloss Charlottenburg",Bildindex,sogenannte Trompetenuhr,"Kaufmann, Friedrich (1885)",https://www.bildindex.de/document/obj20201505,True,valid
4122902-2,"Berlin, Schloss Charlottenburg",Bildindex,Kleine Orangerie,"Langhans, Carl Gotthard",https://www.bildindex.de/document/obj20505751,True,valid
4122902-2,"Berlin, Schloss Charlottenburg",Bildindex,Treppengeländer,"Friedrich (Preußen, König, 2, der Große)",https://www.bildindex.de/document/obj20505887,True,valid
4122902-2,"Berlin, Schloss Charlottenburg",Bildindex,Deckendekoration eines ehemaligen Raumes,"Sophie Charlotte (Preußen, Königin)",https://www.bildindex.de/document/obj20505923,True,valid
4122902-2,"Berlin, Schloss Charlottenburg",Bildindex,Kamin,"Friedrich Wilhelm (Preußen, König, 2)",https://www.bildindex.de/document/obj20505946,True,valid
4122902-2,"Berlin, Schloss Charlottenburg",CBDD,"Berlin, Schloss Charlottenburg",,https://www.deckenmalerei.eu/75df3f1f-6937-4c92-b204-4ce261345989,True,valid
4361868-6,"Mannheim, Jesuitenkolleg",Bildindex,Gitter,"Rabaliatti, Franz Wilhelm",https://www.bildindex.de/document/obj20226149,True,valid
4361868-6,"Mannheim, Jesuitenkolleg",Bildindex,Fassadenskulpturen der Jesuitenkirche in Mannheim,"Verschaffelt, Peter Anton von",https://www.bildindex.de/document/obj20802928,True,valid
4361868-6,"Mannheim, Jesuitenkolleg",Bildindex,Christusmonogramm im Strahlnkranz mit Leidenswerkzeugen und jubilierenden und anbetenden Engeln,"Egell, Paul",https://www.bildindex.de/document/obj20802931,True,valid
4361868-6,"Mannheim, Jesuitenkolleg",Bildindex,Orgelempore der ehemaligen Jesuitenkirche Sankt Ignatius und Franz Xaver,,https://www.bildindex.de/document/obj20802945,True,valid
4361868-6,"Mannheim, Jesuitenkolleg",Bildindex,Innendekoration der ehemaligen Jesuitenkirche Sankt Ignatius und Franz Xaver,"Strahl, Stephan",https://www.bildindex.de/document/obj20802976,True,valid
4361868-6,"Mannheim, Jesuitenkolleg",CBDD,"Mannheim, Jesuitenkolleg",,https://www.deckenmalerei.eu/5e41f21c-a819-4542-a783-87e94e7128fb,True,valid
4641676-6,"Alteglofsheim, Schloss",Bildindex,Endymion und Selene,"Asam, Cosmas Damian",https://www.bildindex.de/document/obj20082450,True,valid
4641676-6,"Alteglofsheim, Schloss",Bildindex,Innendekoration des Ovalsaals,"Königsfeld, Johann Georg von (Reichsgraf, 2)",https://www.bildindex.de/document/obj20082452,True,valid
4641676-6,"Alteglofsheim, Schloss",Bildindex,"Reiche Stuckdekoration mit Rankenwerk, wasserspeiende Delphine, aus Füllhörnern sprudelnde Fontänen, Putten und Vögel","Cuvilliés, François de (der Ältere)",https://www.bildindex.de/document/obj20470794,True,valid
4641676-6,"Alteglofsheim, Schloss",Bildindex,Wanddekoration,"Königsfeld, Johann Georg von (Reichsgraf, 2)",https://www.bildindex.de/document/obj21028607,False,DEAD LINK
4641676-6,"Alteglofsheim, Schloss",Bildindex,Deckendekoration,"Asam, Egid Quirin",https://www.bildindex.de/document/obj21028610,False,DEAD LINK
4641676-6,"Alteglofsheim, Schloss",CBDD,"Alteglofsheim, Schloss",,https://www.deckenmalerei.eu/0e2cca35-f186-4d84-b512-b8bcde2d6264,True,valid
4547999-9,Schloss Sünching,Bildindex,Altar,"Seinsheim, Joseph Franz Maria Ignaz von",https://www.bildindex.de/document/obj20291455,True,valid
4547999-9,Schloss Sünching,Bildindex,Konsoltisch,"Achmiller, Joachim Gabriel",https://www.bildindex.de/document/obj20344555,True,valid
4547999-9,Schloss Sünching,Bildindex,Hauptportal,"Cuvilliés, François de (der Ältere)",https://www.bildindex.de/document/obj20950922,True,valid
4547999-9,Schloss Sünching,Bildindex,"Hauptportal – Allianzwappen derer zu Seinsheim und Hoheneck, auf dem Schlussstein des Portals","Kaltenbacher, Matthias",https://www.bildindex.de/document/obj20950923,False,DEAD LINK
4547999-9,Schloss Sünching,Bildindex,Innendekoration des Festsaals,"Günther, Matthäus",https://www.bildindex.de/document/obj20950924,True,valid
4547999-9,Schloss Sünching,CBDD,Schloss Sünching,,https://www.deckenmalerei.eu/05299aa0-c7ed-11e9-91e0-9bbdba1c3ce9,True,valid
7723980-5,"Neustadt an der Waldnaab, Neues Schloss",Bildindex,Deckendekoration der Schlosskapelle,,https://www.bildindex.de/document/obj21015162,True,valid
7723980-5,"Neustadt an der Waldnaab, Neues Schloss",Bildindex,"Deckendekoration der Schlosskapelle – Schöpfergott, Zentrales Bild",,https://www.bildindex.de/document/obj21015163,False,DEAD LINK
7723980-5,"Neustadt an der Waldnaab, Neues Schloss",Bildindex,Deckendekoration der Schlosskapelle – Satellitenbilder mit Darstellungen des Apostolischen Glaubensbekenntnisses,,https://www.bildindex.de/document/obj21015164,False,DEAD LINK
7723980-5,"Neustadt an der Waldnaab, Neues Schloss",Bildindex,"Deckendekoration der Schlosskapelle – Satellitenbilder mit Darstellungen des Apostolischen Glaubensbekenntnisses – Christus als Weltenherrscher, Nordosten",,https://www.bildindex.de/document/obj21015165,False,DEAD LINK
7723980-5,"Neustadt an der Waldnaab, Neues Schloss",Bildindex,"Deckendekoration der Schlosskapelle – Satellitenbilder mit Darstellungen des Apostolischen Glaubensbekenntnisses – Verkündigung an Maria, Südosten",,https://www.bildindex.de/document/obj21015166,False,DEAD LINK
7723980-5,"Neustadt an der Waldnaab, Neues Schloss",CBDD,"Neustadt an der Waldnaab, Neues Schloss",,https://www.deckenmalerei.eu/b9d6b2fb-c594-49f7-859e-2494fe880385,True,valid
7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",Bildindex,Marstall,"Clemens August (Köln, Erzbischof, 1)",https://www.bildindex.de/document/obj21080897,True,valid
7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",Bildindex,Reithalle,,https://www.bildindex.de/document/obj21080899,True,valid
7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",Bildindex,Schlosswache,"Clemens August (Köln, Erzbischof, 1)",https://www.bildindex.de/document/obj21080902,True,valid
7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",Bildindex,Garten,"Nagel, Franz Christoph",https://www.bildindex.de/document/obj21080903,True,valid
7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",Bildindex,Innendekoration des Marschalltafelzimmers,"Clemens August (Köln, Erzbischof, 1)",https://www.bildindex.de/document/obj21080911,True,valid
7534720-9,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",CBDD,"Schloß Neuhaus, Residenzschloss Schloss Neuhaus",,https://www.deckenmalerei.eu/5022e2b0-0fd1-4194-b311-76c06f0b97ed,True,valid
4689289-8,"Eisenach, Residenzschloss",Bildindex,Deckenleuchter,,https://www.bildindex.de/document/obj20189888,True,valid
4689289-8,"Eisenach, Residenzschloss",Bildindex,Ofen,,https://www.bildindex.de/document/obj20189895,True,valid
4689289-8,"Eisenach, Residenzschloss",Bildindex,Schrank,,https://www.bildindex.de/document/obj20189898,True,valid
4689289-8,"Eisenach, Residenzschloss",Bildindex,"Innendekoration des Festsaals – Wanddekoration des Festsaals – Antikische Landschaftsszenen mit Ruinenarchitektur und Figurenstaffage – Antikische Architektur mit Paar, Ostwand, über Tür","Brühl, Johann Michael",https://www.bildindex.de/document/obj20384234,True,valid
4689289-8,"Eisenach, Residenzschloss",CBDD,"Eisenach, Residenzschloss",,https://www.deckenmalerei.eu/52f0cb6c-c640-459f-8fcb-cc399ca5b396,True,valid
