gnd,painter_name,cbdd_works,bi_works
https://d-nb.info/gnd/117509884,"Fischer, Reinhard Ferdinand Heinrich",3,48
https://d-nb.info/gnd/104173297,"Joachim Ernst (Anhalt-Zerbst-Dessau, Fürst)",3,1
https://d-nb.info/gnd/1155578147,"Rosenberg, Johann Gottfried",3,1
https://d-nb.info/gnd/133648605,"Feichtmayr, Franz Xaver (2)",3,37
https://d-nb.info/gnd/12322389X,"Baldauf, Ignaz",3,8
https://d-nb.info/gnd/13806721X,"Weyhing, Johann Friedrich",3,20
https://d-nb.info/gnd/119492415,"Göser, Simon",3,1
https://d-nb.info/gnd/12216394X,"Carlone, Giovanni Battista",3,11
https://d-nb.info/gnd/102308888,"Ernst Ludwig (Sachsen-Meiningen, Herzog, 1)",3,18
https://d-nb.info/gnd/1012391175,"Pfleger, Franz",3,54
https://d-nb.info/gnd/1283519984,"Rust, Johann Peter",3,32
https://d-nb.info/gnd/118969080,"Luise Henriette (Brandenburg, Kurfürstin)",3,1
https://d-nb.info/gnd/128472804,"Nagel, Franz Christoph",3,22
https://d-nb.info/gnd/130546712,"Keller, Franz (1682)",3,25
https://d-nb.info/gnd/136724361,"Friedrich Adolf (Lippe, Graf)",3,40
https://d-nb.info/gnd/1172559023,"Bellan, Nikolaus Bruno",3,1
https://d-nb.info/gnd/11858412X,"Moritz (Hessen, Landgraf)",3,17
https://d-nb.info/gnd/118713175,"Joseph Dominicus (Passau, Bischof)",3,16
https://d-nb.info/gnd/118535056,"Franziska (Württemberg, Herzogin)",3,11
https://d-nb.info/gnd/103120211,"Richter, Johann Moritz (1620)",3,34
https://d-nb.info/gnd/118971301,"Johann Franz (Konstanz, Bischof, 2)",3,3
https://d-nb.info/gnd/116862270,"Meil, Johann Ludwig (1755)",3,1
https://d-nb.info/gnd/129320366,"Hennicke, Georg",3,38
https://d-nb.info/gnd/1037351622,"Gengenbach, Johann Heinrich",3,16
https://d-nb.info/gnd/121813096,"Mogia, Giuseppe",3,16
https://d-nb.info/gnd/119105691,"Ferdinand Maria (Bayern, Kurfürst)",29,1
https://d-nb.info/gnd/121522318,"Schiebling, Christian",28,5
https://d-nb.info/gnd/12152230X,"Wiebel, Centurio",27,5
https://d-nb.info/gnd/101052677,"Ernst August (Hannover, Kurfürst, 1)",25,23
https://d-nb.info/gnd/104132280,"Ortenburg, Joachim (Graf)",25,6
https://d-nb.info/gnd/117752991,"Vocke, Karl",24,7
https://d-nb.info/gnd/12283464X,"Geiger, Franz Josef",23,14
https://d-nb.info/gnd/122474457,"Friedrich Anton (Schwarzburg-Rudolstadt, Fürst)",22,49
https://d-nb.info/gnd/1012181634,"Creutzfelder, Joachim Georg",21,23
https://d-nb.info/gnd/118535641,"Friedrich (Brandenburg-Bayreuth, Markgraf)",21,55
https://d-nb.info/gnd/118720953,"Karl Philipp (Pfalz-Neuburg, Kurfürst, 3)",20,14
https://d-nb.info/gnd/136672736,"Maucher, Franz Joseph",2,2
https://d-nb.info/gnd/138855099,"Honthorst, Willem van",2,5
https://d-nb.info/gnd/118976117,"Kuhn, Johann Nikolaus",2,4
https://d-nb.info/gnd/118864416,"Fechter, Johann Jacob",2,3
https://d-nb.info/gnd/102836094,"Giel von Gielsberg, Roman",2,6
https://d-nb.info/gnd/117411469,"Wintzingerode, Georg Ernst Levin von",2,1
https://d-nb.info/gnd/11913988X,"Karl Wilhelm Ferdinand (Braunschweig-Wolfenbüttel, Herzog)",2,13
https://d-nb.info/gnd/120481405,"Brenner, Valerian",2,12
https://d-nb.info/gnd/129486612,"Bünau, Heinrich von",2,2
https://d-nb.info/gnd/118632922,"Wilhelm (Hessen-Kassel, Landgraf, 4)",2,7
https://d-nb.info/gnd/1012242838,"Enderle, Anton",2,6
https://d-nb.info/gnd/143635859,"Bindner, Matthias",2,15
https://d-nb.info/gnd/102182213,"Karl (Nassau, Fürst)",2,3
https://d-nb.info/gnd/122708938,"Hiebel, Johann",2,1
https://d-nb.info/gnd/11871239X,"Johann Hugo (Trier, Erzbischof)",2,19
https://d-nb.info/gnd/118540238,"Goethe, Johann Wolfgang von",2,7
https://d-nb.info/gnd/11548597X,"Georg August Samuel (Nassau-Idstein, Fürst)",2,47
https://d-nb.info/gnd/118522132,"Corfey, Lambert Friedrich von",2,11
https://d-nb.info/gnd/123965500,"Lipper, Ferdinand",2,1
https://d-nb.info/gnd/135656648,"Buchner, Paul (1531)",2,2
https://d-nb.info/gnd/118890301,"Retti, Leopold",2,50
https://d-nb.info/gnd/1077626738,"Koneberg, Michael",2,2
https://d-nb.info/gnd/1012299554,"Saum, Georg",2,1
https://d-nb.info/gnd/103077847,"Naumann, Johann Christoph von",2,5
https://d-nb.info/gnd/129102881,"Erhardt, Christian",2,1
https://d-nb.info/gnd/1038677084,"Beeldemaker, Adriaen Cornelisz.",2,1
https://d-nb.info/gnd/118666339,"Dietrich (Paderborn, Bischof)",2,36
https://d-nb.info/gnd/139232206,"Pozzi, Giuseppe (1732)",2,8
https://d-nb.info/gnd/142724661,"Simonetti, Giovanni",2,32
https://d-nb.info/gnd/136135110,"Gröninger, Gottfried",2,3
https://d-nb.info/gnd/120038315,"Wilhelm (Schwarzburg, Graf)",2,4
https://d-nb.info/gnd/12910048X,"Benckert, Johann Peter",2,21
https://d-nb.info/gnd/134060717,"Pozzi, Francesco (1700)",2,12
https://d-nb.info/gnd/12462085X,"Nette, Johann Friedrich",2,64
https://d-nb.info/gnd/1035101769,"Neelmeyer, Heinrich",2,3
https://d-nb.info/gnd/119286947,"Matielli, Lorenzo",2,8
https://d-nb.info/gnd/137244045,"Veltmann, Hermann",2,3
https://d-nb.info/gnd/135924448,"Exner, Christian Friedrich",2,3
https://d-nb.info/gnd/1081641185,"Heymüller, Gottlieb",2,4
https://d-nb.info/gnd/1042169233,"Rothweil, Franz Friedrich",2,28
https://d-nb.info/gnd/118640208,"Clemens Wenzel (Trier, Erzbischof)",2,1
https://d-nb.info/gnd/118936794,"Gentileschi, Artemisia",2,4
