gnd_uri,gnd_id,cbdd_building,cbdd_item_url,bildindex_items_count
https://d-nb.info/gnd/4132604-0,4132604-0,"Potsdam, Lordmarschallhaus",https://www.deckenmalerei.eu/ab20d2e3-4fa1-4655-b029-00da0ff4c600,35
https://d-nb.info/gnd/4687325-9,4687325-9,"Hannover-Herrenhausen, ehem. Schloss",https://www.deckenmalerei.eu/ca02d024-8782-44d6-9222-e05bb52e5637,34
https://d-nb.info/gnd/1107588642,1107588642,"Schäftlarn, Ehem. Prämonstratenserabteikirche St. Dionysius und Juliana",https://www.deckenmalerei.eu/c3773eff-cc6e-4b0a-b0a2-5c1a04a49c05,34
https://d-nb.info/gnd/4370762-2,4370762-2,"Passau, Alte Residenz",https://www.deckenmalerei.eu/bf1b5b60-c76b-11e9-9d4f-dd5abb9f0477,33
https://d-nb.info/gnd/4763052-8,4763052-8,"Waltershausen, Schloss Tenneberg",https://www.deckenmalerei.eu/65465895-cced-436d-846a-77e9f5682de4,29
https://d-nb.info/gnd/4398453-8,4398453-8,"Grafrath, Wallfahrts- und Klosterkirche St. Rasso",https://www.deckenmalerei.eu/077e60aa-9166-47b2-a4a0-97ed06a4032c,28
https://d-nb.info/gnd/4600762-3,4600762-3,"Potsdam, Marmorpalais",https://www.deckenmalerei.eu/2f1c5627-f146-4fcf-a6c1-16d30e2ba73d,25
https://d-nb.info/gnd/4605559-9,4605559-9,"Sögel, Jagdschloss Clemenswerth, Hauptgebäude",https://www.deckenmalerei.eu/916543cf-f8de-4041-8d36-11e20a7c5136,25
https://d-nb.info/gnd/4203242-8,4203242-8,"Wolfenbüttel, Schloss",https://www.deckenmalerei.eu/6866532b-6a74-49b4-a3c9-bea5d4fd63a0,24
https://d-nb.info/gnd/4511631-3,4511631-3,"Weimar-Ehringsdorf, Lustschloss Belvedere",https://www.deckenmalerei.eu/023d2508-d285-4e48-9b43-0fd41d890745,23
https://d-nb.info/gnd/4803702-3,4803702-3,"Saalfeld, Residenzschloss",https://www.deckenmalerei.eu/b4a2f1b3-6f6f-432b-88ac-88419b1de29d,21
https://d-nb.info/gnd/4223060-3,4223060-3,"Ellingen, Landkomturei des Deutschen Ordens",https://www.deckenmalerei.eu/78cab135-18f0-4cff-8f48-c8a2cc420221,21
https://d-nb.info/gnd/7531257-8,7531257-8,"Steinfurt, Schloss Burgsteinfurt",https://www.deckenmalerei.eu/aa1a8000-2e18-4ac4-af25-52db9347d28a,21
https://d-nb.info/gnd/4496763-9,4496763-9,"Burgk, Residenzschloss",https://www.deckenmalerei.eu/260b74f4-89b7-47c1-a17d-5f6ac55dcae4,19
https://d-nb.info/gnd/4273467-8,4273467-8,"Polling, ehem. Augustiner-Chorherrenstift, Ehem. Stiftskirche Kreuzauffindung",https://www.deckenmalerei.eu/ea55528c-ec08-4982-941a-ce6aae6995e7,19
https://d-nb.info/gnd/4040583-7,4040583-7,"München, Schloss Nymphenburg, Hauptschloss",https://www.deckenmalerei.eu/4b2c8a4f-ecad-44f5-a770-c3f0254b4d17,19
https://d-nb.info/gnd/4605869-2,4605869-2,"Augsburg, Fürstbischöfliche Residenz",https://www.deckenmalerei.eu/3542fd30-ca5e-11e9-b3c7-c1f35c95f583,19
https://d-nb.info/gnd/4671798-5,4671798-5,"Oberschleißheim, Altes Schloss Schleißheim",https://www.deckenmalerei.eu/5a25c87d-6ecc-4bec-9b36-2f9f7ddd5504,19
https://d-nb.info/gnd/4231815-4,4231815-4,"Meiningen, Residenzschloss Elisabethenburg",https://www.deckenmalerei.eu/2d257f0a-bfd4-49f7-81bd-fb290a6a93ea,18
https://d-nb.info/gnd/4311603-6,4311603-6,"Erfurt, Statthalterei (Staatskanzlei)",https://www.deckenmalerei.eu/6a8e00cd-c3db-4c30-87e3-1e032a7072fa,16
https://d-nb.info/gnd/4329310-4,4329310-4,"Fürstenfeld, Ehem. Stiftskirche Mariä Himmelfahrt",https://www.deckenmalerei.eu/a3b564c8-469d-40f1-944b-6fe17722d36b,15
