nfdi_uri,label,year,parentLabel,subjects
https://www.deckenmalerei.eu/0a1be697-7b76-4572-923f-e35af9d29461,"Oberhundem, Adolphsburg",1676-1681,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b2ca5ae-584b-4747-8155-768876dcd0ed,"Bad Tölz, Stiegenkirche auf dem Kalvarienberg","1718-1722, ab 1723",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b30e113-8ab4-48fd-9af9-77685df54ef0,"Regensburg, Schwanenplatz 1",14. Jahrhundert - 17. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b30e113-8ab4-48fd-9af9-77685df54ef0,"Regensburg, Schwanenplatz 1",14. Jahrhundert - 17. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b346c44-3c61-4972-aca4-43de268ed736,"Piesenkam, Filialkirche St. Jakobus Major","spätgotisch, 18. Jahrhundert",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0b8a7e6d-d6ea-46d5-a8f6-26914b8b7eb9,"Augsburg, Gartenpavillon Haus St. Ambrosius",wohl um 1755,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0bd9e911-d5d0-477a-aa81-def240b8ab4c,"Schliersee, Pfarrkirche St. Sixtus",1712-1715,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0bfda4c9-67e4-4074-a5fe-1d2a644c0ce7,"Pegau, Rittergut ""Schloss"" Wiederau","1664, 1697, 1705, 1705 - 1708, 1737, 1995 - 97",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0c1de8e2-4177-49b5-aa02-1cb108110625,"Puch, Wallfahrtskirche St. Sebastian","1453, 1714-1724, 1730, 1920",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0c721f14-269f-44cc-b44c-d495041e6d1a,"Dresden, Holländisches Palais","1715-1716, 1717",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0cac8fdb-56bf-45a8-a0d4-bbcafb5b5fb8,"Müden, ehem. Gut Dieckhorst",1711,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0ceac20a-68a1-4750-880c-0e7b932eb178,"Heimenkirch, Schloss Syrgenstein","Grundsteinlegung 1491, Umbau Innenausstattung um 1740, Erweiterung zur Dreiflügelanlage im 19. Jahrhundert",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0d003b3a-fa5a-467c-8419-d60b7b8c9f8c,"Penzing, Pfarrkirche St. Martin","um 1650, 18. Jh.",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0d697361-73e8-4ec0-bc13-c8b218540537,"Erpfting, Kapelle Maria-Eich",1696/1697,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0d888ec1-dbc6-47c8-ac98-a05d5aee7b38,"Nürnberg, Fembohaus, Tanzsaal",1591-1596,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0d9c9f0b-f64b-40c6-bf0e-0a6496895269,"Bad Sassendorf, Haus Sassendorf","1783-1785, 1786-1810",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0db25ff2-be36-4fa9-9900-2be3d2dbd9bb,"Einöd, Kapelle Schmerzhafter Heiland und Schmerzensmutter Maria",um 1652,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0dfd0109-4c9f-4407-87ff-c3642d2dad9a,"Schleswig, ehem. Lusthaus Amalienburg",1669-1671,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0e2cca35-f186-4d84-b512-b8bcde2d6264,"Alteglofsheim, Schloss","1665–69 und 1679/80 Bau Osttrakt des Südflügels, 1710/11 Parkanlage, 1717/18 Umgestaltung, 1725–34 Umgestaltung und Bau Westtrakt des Südflügels",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0ed23e6e-09de-4ed1-a99d-af6534b54240,"Rumeltshausen, Filialkirche St. Laurentius","Mittelalterlich, 1670, 1694, 1733, 1748, 1839, 1857",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0f099767-39a9-485f-a26c-45ba852901b3,"Kottgeisering, Pfarrkirche Hl. Valentin von Terni","1774, 1842",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0f3c7df2-58aa-4c7b-ae8f-af326e69b57c,"Bad Gandersheim, Fürstabtei und Residenz","1678-1681, 1724-1736, 1727-1737",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/0f641fe5-f428-45c4-aeb4-f26e676254b8,"Dickelschwaig, Kapelle St. Gertrud","1698, 1755",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/101ea49b-01f7-4490-958e-5737530b8806,"Wessobrunn, Gasthaus zur Post",im 19. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/105e0dcd-7c32-4fb5-9c0d-22800554cee2,"Kißlegg, Neues Schloss",1721-1727,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/10e2b258-379b-4c64-8e59-49b3fa735297,"Regensburg, Obere Bachgasse 7,",1715,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/111ade84-b1eb-44a2-8429-a8d45cf1c2e2,"Ronneburg, Residenzschloss Ronneburg","Erstnennung Mitte 13. Jhd., stetiger Um-/Neubau im 14.-16.Jhd., ab 1573 Nordflügel erneuert",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/111cc3db-9237-4c36-9ca1-2a4ab48d4614,"Kleinhöhenkirchen, Marienwallfahrt Mariä Heimsuchung","24.8.1723, 1773",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/113d64e5-976a-4897-91b0-1c7d5e7014b1,"Arnstadt, Haus zum Paradies",1585-1595,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/118b2450-7755-40ff-8f6c-2a53b5990e90,"Rastatt-Förch, Schloss Favorite",1710-1716,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/118cf795-0261-4f03-aec4-cf0aef2017a0,"Schwäbisch Hall, ehem. Stadtpfarrhaus, Pfarrgasse 12",1450/1460,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/12854670-989e-4509-9675-53d2e988dcca,"München, Stadtpfarrkirche zu Unserer Lieben Frau, sog. Frauenkirche",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1358841e-dd56-4fae-a56d-470b96d65e8d,"Wegscheid, Pestkapelle St. Anton",1688,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1370fabd-d8c5-4107-a1d2-5572f43a55aa,"Flensburg, Haus Angelburger Str. 22",1609,,http://vocab.getty.edu/aat/300004792
